,lat,lon,landmask,pv_land_cover_urban_high,wind_land_cover_urban_medium_high,fed_and_state_protected,wind_slope_over_20p,config
0,22.267113,-116.6951,0.0,0,0,0,0,def
1,22.30986,-116.625,0.0,0,0,0,0,def
2,22.352562,-116.55481,0.0,0,0,0,0,def
3,22.395226,-116.48456,0.0,0,0,0,0,def
4,22.437843,-116.414215,0.0,0,0,0,0,def
5,22.480408,-116.34378,0.0,0,0,0,0,def
6,22.522926,-116.273285,0.0,0,0,0,0,def
7,22.565407,-116.2027,0.0,0,0,0,0,def
8,22.607826,-116.132034,0.0,0,0,0,0,def
9,22.650215,-116.06128,0.0,0,0,0,0,def
10,22.692543,-115.99046,0.0,0,0,0,0,def
11,22.73484,-115.919556,0.0,0,0,0,0,def
12,22.777084,-115.84856,0.0,0,0,0,0,def
13,22.81929,-115.77748,0.0,0,0,0,0,def
14,22.86142,-115.70633,0.0,0,0,0,0,def
15,22.903534,-115.6351,0.0,0,0,0,0,def
16,22.945587,-115.56378,0.0,0,0,0,0,def
17,22.987587,-115.492386,0.0,0,0,0,0,def
18,23.029549,-115.4209,0.0,0,0,0,0,def
19,23.071457,-115.349335,0.0,0,0,0,0,def
20,23.113327,-115.27771,0.0,0,0,0,0,def
21,23.155136,-115.20598,0.0,0,0,0,0,def
22,23.1969,-115.13417,0.0,0,0,0,0,def
23,23.238617,-115.06229,0.0,0,0,0,0,def
24,23.280289,-114.990326,0.0,0,0,0,0,def
25,23.321907,-114.918274,0.0,0,0,0,0,def
26,23.36348,-114.84613,0.0,0,0,0,0,def
27,23.405006,-114.773926,0.0,0,0,0,0,def
28,23.446472,-114.70163,0.0,0,0,0,0,def
29,23.487892,-114.62926,0.0,0,0,0,0,def
30,23.529274,-114.55679,0.0,0,0,0,0,def
31,23.570587,-114.48425,0.0,0,0,0,0,def
32,23.611862,-114.41164,0.0,0,0,0,0,def
33,23.653091,-114.33894,0.0,0,0,0,0,def
34,23.694252,-114.26614,0.0,0,0,0,0,def
35,23.73539,-114.1933,0.0,0,0,0,0,def
