gid,config
62,def
63,def
64,def
65,def
66,def
67,def
68,def
69,def
70,def
71,def
72,def
73,def
74,def
75,def
76,def
77,def
78,def
79,def
80,def
81,def
82,def
83,def
84,def
85,def
86,def
87,def
88,def
89,def
90,def
91,def
92,def
93,def
94,def
95,def
96,def
97,def
98,def
99,def
100,def
101,def
102,def
103,def
104,def
105,def
106,def
107,def
108,def
109,def
110,def
111,def
112,def
113,def
117,def
118,def
120,def
121,def
122,def
123,def
124,def
125,def
126,def
127,def
128,def
129,def
130,def
131,def
132,def
133,def
134,def
135,def
136,def
137,def
138,def
139,def
140,def
141,def
142,def
143,def
144,def
145,def
146,def
147,def
148,def
149,def
150,def
167,def
168,def
169,def
170,def
171,def
172,def
173,def
174,def
175,def
176,def
177,def
178,def
179,def
180,def
181,def
182,def
183,def
184,def
185,def
186,def
187,def
188,def
189,def
190,def
191,def
192,def
193,def
207,def
208,def
209,def
210,def
211,def
212,def
213,def
214,def
215,def
216,def
217,def
218,def
219,def
220,def
221,def
222,def
223,def
224,def
225,def
226,def
227,def
228,def
229,def
230,def
231,def
232,def
233,def
234,def
235,def
236,def
237,def
304,def
305,def
306,def
307,def
308,def
309,def
310,def
311,def
312,def
313,def
314,def
315,def
316,def
317,def
318,def
319,def
320,def
321,def
322,def
323,def
324,def
325,def
326,def
327,def
328,def
329,def
330,def
331,def
332,def
333,def
334,def
335,def
336,def
337,def
338,def
339,def
340,def
341,def
342,def
343,def
344,def
345,def
346,def
347,def
348,def
349,def
350,def
351,def
352,def
353,def
354,def
355,def
356,def
357,def
359,def
360,def
362,def
363,def
364,def
365,def
366,def
367,def
368,def
369,def
370,def
371,def
372,def
373,def
374,def
375,def
376,def
377,def
378,def
379,def
380,def
381,def
382,def
383,def
384,def
385,def
386,def
387,def
388,def
389,def
390,def
391,def
392,def
409,def
410,def
411,def
412,def
413,def
414,def
415,def
416,def
417,def
418,def
419,def
420,def
421,def
422,def
423,def
424,def
425,def
426,def
427,def
428,def
429,def
430,def
431,def
432,def
433,def
434,def
435,def
436,def
451,def
452,def
453,def
454,def
455,def
456,def
457,def
458,def
459,def
460,def
461,def
462,def
463,def
464,def
465,def
466,def
467,def
468,def
469,def
470,def
471,def
472,def
473,def
474,def
475,def
476,def
477,def
478,def
548,def
549,def
550,def
551,def
552,def
553,def
554,def
555,def
556,def
557,def
558,def
559,def
560,def
561,def
562,def
563,def
564,def
565,def
566,def
567,def
568,def
569,def
570,def
571,def
572,def
573,def
574,def
575,def
576,def
577,def
578,def
579,def
580,def
581,def
582,def
583,def
584,def
585,def
586,def
587,def
588,def
589,def
590,def
591,def
592,def
593,def
594,def
595,def
596,def
597,def
598,def
599,def
600,def
602,def
603,def
604,def
605,def
606,def
607,def
608,def
609,def
610,def
611,def
612,def
613,def
614,def
615,def
616,def
617,def
618,def
619,def
620,def
621,def
622,def
623,def
624,def
625,def
626,def
627,def
628,def
629,def
630,def
631,def
632,def
633,def
634,def
650,def
651,def
652,def
653,def
654,def
655,def
656,def
657,def
658,def
659,def
660,def
661,def
662,def
663,def
664,def
665,def
666,def
667,def
668,def
669,def
670,def
671,def
672,def
673,def
674,def
675,def
676,def
677,def
678,def
692,def
693,def
694,def
695,def
696,def
697,def
698,def
699,def
700,def
701,def
702,def
703,def
704,def
705,def
706,def
707,def
708,def
709,def
710,def
711,def
712,def
713,def
714,def
715,def
716,def
717,def
718,def
719,def
720,def
721,def
790,def
791,def
792,def
793,def
794,def
795,def
796,def
797,def
798,def
799,def
800,def
801,def
802,def
803,def
804,def
805,def
806,def
807,def
808,def
809,def
810,def
811,def
812,def
813,def
814,def
815,def
816,def
817,def
818,def
819,def
820,def
821,def
822,def
823,def
824,def
825,def
826,def
827,def
828,def
829,def
830,def
831,def
832,def
833,def
834,def
835,def
836,def
837,def
838,def
839,def
840,def
841,def
842,def
843,def
844,def
845,def
846,def
847,def
848,def
849,def
850,def
851,def
852,def
853,def
854,def
855,def
856,def
857,def
858,def
859,def
860,def
861,def
862,def
863,def
864,def
865,def
866,def
867,def
868,def
869,def
870,def
871,def
872,def
873,def
874,def
875,def
876,def
891,def
892,def
893,def
894,def
895,def
896,def
897,def
898,def
899,def
900,def
901,def
902,def
903,def
904,def
905,def
906,def
907,def
908,def
909,def
910,def
911,def
912,def
913,def
914,def
915,def
916,def
917,def
918,def
919,def
920,def
921,def
935,def
936,def
937,def
938,def
939,def
940,def
941,def
942,def
943,def
944,def
945,def
946,def
947,def
948,def
949,def
950,def
951,def
952,def
953,def
954,def
955,def
956,def
957,def
958,def
959,def
960,def
961,def
962,def
963,def
964,def
1032,def
1033,def
1034,def
1035,def
1036,def
1037,def
1038,def
1039,def
1040,def
1041,def
1042,def
1043,def
1044,def
1045,def
1046,def
1047,def
1048,def
1049,def
1050,def
1051,def
1052,def
1053,def
1054,def
1055,def
1056,def
1057,def
1058,def
1059,def
1060,def
1061,def
1062,def
1063,def
1064,def
1065,def
1066,def
1067,def
1068,def
1069,def
1070,def
1071,def
1072,def
1073,def
1074,def
1075,def
1076,def
1077,def
1078,def
1079,def
1080,def
1081,def
1082,def
1083,def
1084,def
1085,def
1086,def
1087,def
1088,def
1089,def
1090,def
1091,def
1093,def
1094,def
1095,def
1096,def
1097,def
1098,def
1099,def
1100,def
1101,def
1102,def
1103,def
1104,def
1105,def
1106,def
1107,def
1108,def
1109,def
1110,def
1111,def
1112,def
1113,def
1114,def
1115,def
1116,def
1117,def
1118,def
1119,def
1133,def
1134,def
1135,def
1136,def
1137,def
1138,def
1139,def
1140,def
1141,def
1142,def
1143,def
1144,def
1145,def
1146,def
1147,def
1148,def
1149,def
1150,def
1151,def
1152,def
1153,def
1154,def
1155,def
1156,def
1157,def
1158,def
1159,def
1160,def
1161,def
1162,def
1163,def
1164,def
1165,def
1166,def
1179,def
1180,def
1181,def
1182,def
1183,def
1184,def
1185,def
1186,def
1187,def
1188,def
1189,def
1190,def
1191,def
1192,def
1193,def
1194,def
1195,def
1196,def
1197,def
1198,def
1199,def
1200,def
1201,def
