gid,config
62,def
63,def
64,def
65,def
66,def
67,def
68,def
69,def
70,def
71,def
72,def
73,def
74,def
75,def
76,def
77,def
101,def
102,def
103,def
104,def
105,def
106,def
107,def
108,def
109,def
110,def
111,def
112,def
113,def
114,def
115,def
116,def
117,def
118,def
119,def
120,def
121,def
122,def
123,def
124,def
125,def
126,def
127,def
128,def
129,def
130,def
131,def
132,def
133,def
134,def
135,def
136,def
137,def
138,def
139,def
140,def
141,def
142,def
143,def
144,def
145,def
146,def
147,def
148,def
149,def
150,def
151,def
152,def
153,def
154,def
155,def
156,def
157,def
158,def
159,def
160,def
161,def
162,def
163,def
164,def
165,def
166,def
167,def
168,def
169,def
170,def
171,def
172,def
173,def
174,def
175,def
176,def
177,def
178,def
179,def
180,def
181,def
182,def
183,def
184,def
185,def
186,def
187,def
188,def
189,def
190,def
191,def
192,def
193,def
194,def
195,def
196,def
197,def
198,def
199,def
200,def
201,def
202,def
203,def
204,def
205,def
206,def
207,def
208,def
209,def
210,def
211,def
212,def
213,def
214,def
215,def
216,def
217,def
218,def
219,def
220,def
221,def
222,def
223,def
224,def
225,def
226,def
227,def
228,def
229,def
230,def
231,def
232,def
233,def
234,def
235,def
236,def
237,def
238,def
239,def
240,def
241,def
242,def
243,def
244,def
245,def
246,def
247,def
248,def
249,def
250,def
251,def
252,def
253,def
254,def
255,def
256,def
257,def
258,def
259,def
260,def
261,def
262,def
263,def
264,def
265,def
266,def
267,def
268,def
269,def
332,def
333,def
334,def
335,def
336,def
337,def
338,def
339,def
340,def
341,def
342,def
343,def
344,def
345,def
346,def
347,def
371,def
372,def
373,def
374,def
375,def
376,def
377,def
378,def
379,def
380,def
381,def
382,def
383,def
384,def
385,def
386,def
387,def
388,def
389,def
390,def
391,def
392,def
393,def
394,def
395,def
396,def
397,def
398,def
399,def
400,def
401,def
402,def
403,def
404,def
405,def
406,def
407,def
408,def
409,def
410,def
411,def
412,def
413,def
414,def
415,def
416,def
417,def
418,def
419,def
420,def
421,def
422,def
423,def
424,def
425,def
426,def
427,def
428,def
429,def
430,def
431,def
432,def
433,def
434,def
435,def
436,def
437,def
438,def
439,def
440,def
441,def
442,def
443,def
444,def
445,def
446,def
447,def
448,def
449,def
450,def
451,def
452,def
453,def
454,def
455,def
456,def
457,def
458,def
459,def
460,def
461,def
462,def
463,def
464,def
465,def
466,def
467,def
468,def
469,def
470,def
471,def
472,def
473,def
474,def
475,def
476,def
477,def
478,def
479,def
480,def
481,def
482,def
483,def
484,def
485,def
486,def
487,def
488,def
489,def
490,def
491,def
492,def
493,def
494,def
495,def
496,def
497,def
498,def
499,def
500,def
501,def
502,def
503,def
504,def
505,def
506,def
507,def
508,def
509,def
510,def
511,def
512,def
513,def
514,def
515,def
516,def
517,def
518,def
519,def
520,def
521,def
522,def
523,def
524,def
525,def
526,def
527,def
528,def
529,def
530,def
531,def
532,def
533,def
534,def
535,def
536,def
537,def
538,def
539,def
603,def
604,def
605,def
606,def
607,def
608,def
609,def
610,def
611,def
612,def
613,def
614,def
615,def
616,def
617,def
642,def
643,def
644,def
645,def
646,def
647,def
648,def
649,def
650,def
651,def
652,def
653,def
654,def
655,def
656,def
657,def
658,def
659,def
660,def
661,def
662,def
663,def
664,def
665,def
666,def
667,def
668,def
669,def
670,def
671,def
672,def
673,def
674,def
675,def
676,def
677,def
678,def
679,def
680,def
681,def
682,def
683,def
684,def
685,def
686,def
687,def
688,def
689,def
690,def
691,def
692,def
693,def
694,def
695,def
696,def
697,def
698,def
699,def
700,def
701,def
702,def
703,def
704,def
705,def
706,def
707,def
708,def
709,def
710,def
711,def
712,def
713,def
714,def
715,def
716,def
717,def
718,def
719,def
720,def
721,def
722,def
723,def
724,def
725,def
726,def
727,def
728,def
729,def
730,def
731,def
732,def
733,def
734,def
735,def
736,def
737,def
738,def
739,def
740,def
741,def
742,def
743,def
744,def
745,def
746,def
747,def
748,def
749,def
750,def
751,def
752,def
753,def
754,def
755,def
756,def
757,def
758,def
759,def
760,def
761,def
762,def
763,def
764,def
765,def
766,def
767,def
768,def
769,def
770,def
772,def
773,def
774,def
775,def
776,def
777,def
778,def
779,def
780,def
781,def
782,def
783,def
784,def
785,def
786,def
787,def
788,def
789,def
790,def
791,def
792,def
793,def
794,def
795,def
796,def
797,def
798,def
799,def
800,def
801,def
802,def
803,def
804,def
805,def
806,def
807,def
808,def
809,def
874,def
875,def
876,def
877,def
878,def
879,def
880,def
881,def
882,def
883,def
884,def
885,def
886,def
912,def
913,def
914,def
915,def
916,def
917,def
918,def
919,def
920,def
921,def
922,def
923,def
924,def
925,def
926,def
927,def
928,def
929,def
930,def
931,def
932,def
933,def
934,def
935,def
936,def
937,def
938,def
939,def
940,def
941,def
942,def
943,def
944,def
945,def
946,def
947,def
948,def
949,def
950,def
951,def
952,def
953,def
954,def
955,def
956,def
957,def
958,def
959,def
960,def
961,def
962,def
963,def
964,def
965,def
966,def
967,def
968,def
969,def
970,def
971,def
972,def
973,def
974,def
975,def
976,def
977,def
978,def
979,def
980,def
981,def
982,def
983,def
984,def
985,def
986,def
987,def
988,def
989,def
990,def
991,def
992,def
993,def
994,def
995,def
996,def
997,def
998,def
999,def
1000,def
1001,def
1002,def
1003,def
1004,def
1005,def
1006,def
1007,def
1008,def
1009,def
1010,def
1011,def
1012,def
1013,def
1014,def
1015,def
1016,def
1017,def
1018,def
1019,def
1020,def
1021,def
1022,def
1023,def
1024,def
1025,def
1026,def
1027,def
1028,def
1029,def
1030,def
1031,def
1032,def
1033,def
1034,def
1035,def
1036,def
1037,def
1038,def
1039,def
1040,def
1041,def
1042,def
1043,def
1044,def
1045,def
1046,def
1047,def
1048,def
1049,def
1050,def
1051,def
1052,def
1053,def
1054,def
1055,def
1056,def
1057,def
1058,def
1059,def
1060,def
1061,def
1062,def
1063,def
1064,def
1065,def
1066,def
1067,def
1068,def
1069,def
1070,def
1071,def
1072,def
1073,def
1074,def
1075,def
1076,def
1077,def
1078,def
1079,def
1145,def
1146,def
1147,def
1148,def
1149,def
