gid,config
0,def
1,def
2,def
3,def
4,def
5,def
6,def
7,def
8,def
9,def
10,def
11,def
12,def
13,def
14,def
15,def
16,def
17,def
18,def
19,def
20,def
21,def
22,def
23,def
24,def
25,def
26,def
27,def
28,def
29,def
30,def
31,def
32,def
33,def
34,def
35,def
36,def
37,def
38,def
39,def
40,def
41,def
42,def
43,def
44,def
45,def
46,def
47,def
48,def
49,def
50,def
51,def
52,def
53,def
54,def
55,def
56,def
57,def
58,def
59,def
60,def
61,def
114,def
115,def
116,def
119,def
243,def
244,def
245,def
246,def
247,def
248,def
249,def
250,def
251,def
252,def
253,def
254,def
255,def
256,def
257,def
258,def
259,def
260,def
261,def
262,def
263,def
264,def
265,def
266,def
267,def
268,def
269,def
270,def
271,def
272,def
273,def
274,def
275,def
276,def
277,def
278,def
279,def
280,def
281,def
282,def
283,def
284,def
285,def
286,def
287,def
288,def
289,def
290,def
291,def
292,def
293,def
294,def
295,def
296,def
297,def
298,def
299,def
300,def
301,def
302,def
303,def
358,def
361,def
486,def
487,def
488,def
489,def
490,def
491,def
492,def
493,def
494,def
495,def
496,def
497,def
498,def
499,def
500,def
501,def
502,def
503,def
504,def
505,def
506,def
507,def
508,def
509,def
510,def
511,def
512,def
513,def
514,def
515,def
516,def
517,def
518,def
519,def
520,def
521,def
522,def
523,def
524,def
525,def
526,def
527,def
528,def
529,def
530,def
531,def
532,def
533,def
534,def
535,def
536,def
537,def
538,def
539,def
540,def
541,def
542,def
543,def
544,def
545,def
546,def
547,def
601,def
729,def
730,def
731,def
732,def
733,def
734,def
735,def
736,def
737,def
738,def
739,def
740,def
741,def
742,def
743,def
744,def
745,def
746,def
747,def
748,def
749,def
750,def
751,def
752,def
753,def
754,def
755,def
756,def
757,def
758,def
759,def
760,def
761,def
762,def
763,def
764,def
765,def
766,def
767,def
768,def
769,def
770,def
771,def
772,def
773,def
774,def
775,def
776,def
777,def
778,def
779,def
780,def
781,def
782,def
783,def
784,def
785,def
786,def
787,def
788,def
789,def
972,def
973,def
974,def
975,def
976,def
977,def
978,def
979,def
980,def
981,def
982,def
983,def
984,def
985,def
986,def
987,def
988,def
989,def
990,def
991,def
992,def
993,def
994,def
995,def
996,def
997,def
998,def
999,def
1000,def
1001,def
1002,def
1003,def
1004,def
1005,def
1006,def
1007,def
1008,def
1009,def
1010,def
1011,def
1012,def
1013,def
1014,def
1015,def
1016,def
1017,def
1018,def
1019,def
1020,def
1021,def
1022,def
1023,def
1024,def
1025,def
1026,def
1027,def
1028,def
1029,def
1030,def
1031,def
1092,def
1215,def
1216,def
1217,def
1218,def
1219,def
1220,def
1221,def
1222,def
1223,def
1224,def
1225,def
1226,def
1227,def
1228,def
1229,def
1230,def
1231,def
1232,def
1233,def
1234,def
1235,def
1236,def
1237,def
1238,def
1239,def
1240,def
1241,def
1242,def
1243,def
1244,def
1245,def
1246,def
1247,def
1248,def
1249,def
1250,def
1251,def
1252,def
1253,def
1254,def
1255,def
1256,def
1257,def
1258,def
1259,def
1260,def
1261,def
1262,def
1263,def
1264,def
1265,def
1266,def
1267,def
1268,def
1269,def
1270,def
1271,def
1272,def
1273,def
1274,def
1334,def
1335,def
1458,def
1459,def
1460,def
1461,def
1462,def
1463,def
1464,def
1465,def
1466,def
1467,def
1468,def
1469,def
1470,def
1471,def
1472,def
1473,def
1474,def
1475,def
1476,def
1477,def
1478,def
1479,def
1480,def
1481,def
1482,def
1483,def
1484,def
1485,def
1486,def
1487,def
1488,def
1489,def
1490,def
1491,def
1492,def
1493,def
1494,def
1495,def
1496,def
1497,def
1498,def
1499,def
1500,def
1501,def
1502,def
1503,def
1504,def
1505,def
1506,def
1507,def
1508,def
1509,def
1510,def
1511,def
1512,def
1513,def
1514,def
1515,def
1516,def
1517,def
1577,def
1578,def
1701,def
1702,def
1703,def
1704,def
1705,def
1706,def
1707,def
1708,def
1709,def
1710,def
1711,def
1712,def
1713,def
1714,def
1715,def
1716,def
1717,def
1718,def
1719,def
1720,def
1721,def
1722,def
1723,def
1724,def
1725,def
1726,def
1727,def
1728,def
1729,def
1730,def
1731,def
1732,def
1733,def
1734,def
1735,def
1736,def
1737,def
1738,def
1739,def
1740,def
1741,def
1742,def
1743,def
1744,def
1745,def
1746,def
1747,def
1748,def
1749,def
1750,def
1751,def
1752,def
1753,def
1754,def
1755,def
1756,def
1757,def
1758,def
1759,def
1760,def
1761,def
1819,def
1820,def
1944,def
1945,def
1946,def
1947,def
1948,def
1949,def
1950,def
1951,def
1952,def
1953,def
1954,def
1955,def
1956,def
1957,def
1958,def
1959,def
1960,def
1961,def
1962,def
1963,def
1964,def
1965,def
1966,def
1967,def
1968,def
1969,def
1970,def
1971,def
1972,def
1973,def
1974,def
1975,def
1976,def
1977,def
1978,def
1979,def
1980,def
1981,def
1982,def
1983,def
1984,def
1985,def
1986,def
1987,def
1988,def
1989,def
1990,def
1991,def
1992,def
1993,def
1994,def
1995,def
1996,def
1997,def
1998,def
1999,def
2000,def
2001,def
2002,def
2003,def
2004,def
2005,def
2062,def
2063,def
2187,def
2188,def
2189,def
2190,def
2191,def
2192,def
2193,def
2194,def
2195,def
2196,def
2197,def
2198,def
2199,def
2200,def
2201,def
2202,def
2203,def
2204,def
2205,def
2206,def
2207,def
2208,def
2209,def
2210,def
2211,def
2212,def
2213,def
2214,def
2215,def
2216,def
2217,def
2218,def
2219,def
2220,def
2221,def
2222,def
2223,def
2224,def
2225,def
2226,def
2227,def
2228,def
2229,def
2230,def
2231,def
2232,def
2233,def
2234,def
2235,def
2236,def
2237,def
2238,def
2239,def
2240,def
2241,def
2242,def
2243,def
2244,def
2245,def
2246,def
2247,def
2248,def
2249,def
2305,def
2306,def
2430,def
2431,def
2432,def
2433,def
2434,def
2435,def
2436,def
2437,def
2438,def
2439,def
2440,def
2441,def
2442,def
2443,def
2444,def
2445,def
2446,def
2447,def
2448,def
2449,def
2450,def
2451,def
2452,def
2453,def
2454,def
2455,def
2456,def
2457,def
2458,def
2459,def
2460,def
2461,def
2462,def
2463,def
2464,def
2465,def
2466,def
2467,def
2468,def
2469,def
2470,def
2471,def
2472,def
2473,def
2474,def
2475,def
2476,def
2477,def
2478,def
2479,def
2480,def
2481,def
2482,def
2483,def
2484,def
2485,def
2486,def
2487,def
2488,def
2489,def
2490,def
2491,def
2492,def
2493,def
2548,def
2673,def
2674,def
2675,def
2676,def
2677,def
2678,def
2679,def
2680,def
2681,def
2682,def
2683,def
2684,def
2685,def
2686,def
2687,def
2688,def
2689,def
2690,def
2691,def
2692,def
2693,def
2694,def
2695,def
2696,def
2697,def
2698,def
2699,def
2700,def
2701,def
2702,def
2703,def
2704,def
2705,def
2706,def
2707,def
2708,def
2709,def
2710,def
2711,def
2712,def
2713,def
2714,def
2715,def
2716,def
2717,def
2718,def
2719,def
2720,def
2721,def
2722,def
2723,def
2724,def
2725,def
2726,def
2727,def
2728,def
2729,def
2730,def
2731,def
2732,def
2733,def
2734,def
2735,def
2736,def
2916,def
2917,def
2918,def
2919,def
2920,def
2921,def
2922,def
2923,def
2924,def
2925,def
2926,def
2927,def
2928,def
2929,def
